Event Time, Symbol, Aggregate Trade ID, Price Quantity, First Trade ID, Buyer Maker
1728184017179, BTCUSDT, 2353802701, 6189,,1728184017024, False
1728184025751, BTCUSDT, 2353802723, 6189,0.,1728184025747, True
1728184028754, BTCUSDT, 2353802735, 6188,0,1728184028601, False
1728184031694, BTCUSDT, 2353802740, 6188,0.,1728184031538, True
1728184032842, BTCUSDT, 2353802744, 6188,,1728184032808, True
1728184034860, ETHUSDT, 1797839826, 2413,9.,1728184034856, False
1728184034897, BTCUSDT, 2353802752, 6188,0.,1728184034863, False
1728184036719, SOLUSDT, 797361154, 143.,28,1728184036564, True
1728184039087, BTCUSDT, 2353802797, 6189,0.,1728184038980, False
1728184041612, ETHUSDT, 1797839858, 2414,15.,1728184041459, True
1728184041636, BTCUSDT, 2353802802, 6189,2.,1728184041481, True
1728184042131, ETHUSDT, 1797839861, 2414,2,1728184041976, True
1728184046746, ETHUSDT, 1797839864, 2414,52.,1728184046742, False
1728184046747, ETHUSDT, 1797839867, 2414,15.,1728184046742, False
1728184046747, ETHUSDT, 1797839870, 2414,26,1728184046742, False
1728184046749, ETHUSDT, 1797839871, 2414,9.,1728184046742, False
1728184051463, ETHUSDT, 1797839880, 2414,9.,1728184051459, False
1728184051475, ETHUSDT, 1797839887, 2414,6.,1728184051462, False
1728184051528, BTCUSDT, 2353802820, 6189,0.,1728184051451, False
1728184052551, ETHUSDT, 1797839906, 2414,30,1728184052443, True
1728184062939, BTCUSDT, 2353802851, 6190,0.,1728184062784, False
1728184068204, BTCUSDT, 2353802864, 6190,0,1728184068049, False
1728184077913, ETHUSDT, 1797839953, 2414,,1728184077814, False
1728184084829, BTCUSDT, 2353802893, 6190,,1728184084818, False
1728184088394, BTCUSDT, 2353802903, 6189,2.,1728184088247, True
1728184088901, ETHUSDT, 1797839971, 2414,9.,1728184088896, True
1728184088971, SOLUSDT, 797361269, 143.,14,1728184088899, True
1728184092711, BTCUSDT, 2353802913, 6190,0.,1728184092576, False
1728184096324, ETHUSDT, 1797840015, 241,31.,1728184096315, True
1728184096601, BTCUSDT, 2353802920, 6189,0.,1728184096491, True
1728184101745, BTCUSDT, 2353802929, 6189,1.,1728184101741, True
1728184101752, BTCUSDT, 2353802937, 6189,0.,1728184101749, True
